eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
12573970,EHB,1960,1,7,23,17,23.199999999999999,,94.640000000000001,6.4139999999999997,,,,10.0,,6.0199999999999996,,
12573986,EHB,1960,1,18,9,4,54.399999999999999,,124.776,5.923,,,,40.5,,5.8200000000000003,,
12573995,EHB,1960,1,23,7,31,22.800000000000001,,127.47499999999999,-4.0810000000000004,,,,35.0,,6.4800000000000004,,
12573996,EHB,1960,1,23,17,56,39.299999999999997,,127.414,-4.1890000000000001,,,,35.0,,6.2800000000000002,,
12574020,EHB,1960,2,7,10,7,58.700000000000003,,122.65000000000001,4.6159999999999997,,,,630.0,,5.8200000000000003,,
12574025,EHB,1960,2,9,23,55,56.0,,127.732,-4.032,,,,35.0,,6.7000000000000002,,
12574062,EHB,1960,3,5,13,49,23.899999999999999,,128.83000000000001,0.71699999999999997,,,,28.600000000000001,,6.8099999999999996,,
12574063,EHB,1960,3,6,2,22,15.199999999999999,,128.66900000000001,0.81599999999999995,,,,35.0,,6.1500000000000004,,
12574066,EHB,1960,3,7,5,13,24.0,,125.373,1.613,,,,102.3,,5.8200000000000003,,
12574107,EHB,1960,3,29,22,10,28.0,,147.845,-6.2000000000000002,,,,35.0,,6.1500000000000004,,
12574231,EHB,1960,6,11,16,37,46.700000000000003,,152.72900000000001,-9.4849999999999994,,,,25.0,,6.4199999999999999,,
12574239,EHB,1960,6,15,23,27,46.0,,133.11500000000001,-0.55500000000000005,,,,25.0,,6.1500000000000004,,
12574312,EHB,1960,7,31,2,55,45.600000000000001,,150.11199999999999,-6.2119999999999997,,,,15.0,,6.8099999999999996,,
12574332,EHB,1960,8,11,4,50,36.5,,126.251,8.9830000000000005,,,,85.0,,5.8200000000000003,,
12574349,EHB,1960,8,21,12,49,38.399999999999999,,125.178,5.0490000000000004,,,,180.0,,5.8200000000000003,,
12574379,EHB,1960,9,10,10,44,54.399999999999999,,122.495,3.9239999999999999,,,,600.60000000000002,,6.1500000000000004,,
12574381,EHB,1960,9,12,16,2,9.9000000000000004,,117.107,-7.0549999999999997,,,,606.0,,5.8200000000000003,,
12574383,EHB,1960,9,14,0,34,28.600000000000001,,122.309,16.818000000000001,,,,35.0,,5.8200000000000003,,
12574388,EHB,1960,9,15,17,57,40.700000000000003,,143.095,21.510999999999999,,,,300.0,,5.8200000000000003,,
